sample_id,mixture_id,stage_id,x_H2,x_CH4,x_CO2,x_N2,T_C,P_MPa,H_RH,L_m,piston_position_m,pressure_stage,distance_stage,repeat_id,status,source_timestep,source_phase_id
W00001,MD00001,baseline_stage,13.215804100036621,72.04991149902344,12.46922779083252,2.2650599479675293,21.721599578857422,0.6450999975204468,76.53140258789062,0.20000000298023224,0.20000000298023224,low,short,0,calibration_control,0,baseline
W00002,MD00001,distance_stage,13.215804100036621,72.04991149902344,12.46922779083252,2.2650599479675293,21.721599578857422,0.6450999975204468,76.53140258789062,0.20000000298023224,0.20000000298023224,mid,mid,0,synthetic_measurement,7,steady
W00003,MD00001,pressure_stage,13.215804100036621,72.04991149902344,12.46922779083252,2.2650599479675293,21.721599578857422,0.6450999975204468,76.53140258789062,0.20000000298023224,0.20000000298023224,high,long,0,synthetic_measurement,8,steady
W00004,MD00001,purge_stage,13.215804100036621,72.04991149902344,12.46922779083252,2.2650599479675293,21.721599578857422,0.6450999975204468,76.53140258789062,0.20000000298023224,0.20000000298023224,mid,mid,0,synthetic_measurement,10,recovery
W00005,MD00001,baseline_stage,28.72311019897461,62.145912170410156,7.593937873840332,1.537039041519165,21.721599578857422,0.6450999975204468,76.53140258789062,0.6000000238418579,0.6000000238418579,low,short,0,calibration_control,0,baseline
W00006,MD00001,distance_stage,28.72311019897461,62.145912170410156,7.593937873840332,1.537039041519165,21.721599578857422,0.6450999975204468,76.53140258789062,0.6000000238418579,0.6000000238418579,mid,mid,0,synthetic_measurement,7,steady
W00007,MD00001,pressure_stage,28.72311019897461,62.145912170410156,7.593937873840332,1.537039041519165,21.721599578857422,0.6450999975204468,76.53140258789062,0.6000000238418579,0.6000000238418579,high,long,0,synthetic_measurement,8,steady
W00008,MD00001,purge_stage,28.72311019897461,62.145912170410156,7.593937873840332,1.537039041519165,21.721599578857422,0.6450999975204468,76.53140258789062,0.6000000238418579,0.6000000238418579,mid,mid,0,synthetic_measurement,10,recovery
W00009,MD00001,baseline_stage,15.23563289642334,67.0841064453125,7.562504768371582,10.117752075195312,21.721599578857422,0.6450999975204468,76.53140258789062,1.0,1.0,low,short,0,calibration_control,0,baseline
W00010,MD00001,distance_stage,15.23563289642334,67.0841064453125,7.562504768371582,10.117752075195312,21.721599578857422,0.6450999975204468,76.53140258789062,1.0,1.0,mid,mid,0,synthetic_measurement,7,steady
W00011,MD00001,pressure_stage,15.23563289642334,67.0841064453125,7.562504768371582,10.117752075195312,21.721599578857422,0.6450999975204468,76.53140258789062,1.0,1.0,high,long,0,synthetic_measurement,8,steady
W00012,MD00001,purge_stage,15.23563289642334,67.0841064453125,7.562504768371582,10.117752075195312,21.721599578857422,0.6450999975204468,76.53140258789062,1.0,1.0,mid,mid,0,synthetic_measurement,10,recovery
W00013,MD00001,baseline_stage,28.72311019897461,52.03670883178711,11.212577819824219,8.027604103088379,21.721599578857422,0.6450999975204468,76.53140258789062,1.399999976158142,1.399999976158142,low,short,0,calibration_control,0,baseline
W00014,MD00001,distance_stage,28.72311019897461,52.03670883178711,11.212577819824219,8.027604103088379,21.721599578857422,0.6450999975204468,76.53140258789062,1.399999976158142,1.399999976158142,mid,mid,0,synthetic_measurement,7,steady
W00015,MD00001,pressure_stage,28.72311019897461,52.03670883178711,11.212577819824219,8.027604103088379,21.721599578857422,0.6450999975204468,76.53140258789062,1.399999976158142,1.399999976158142,high,long,0,synthetic_measurement,8,steady
W00016,MD00001,purge_stage,28.72311019897461,52.03670883178711,11.212577819824219,8.027604103088379,21.721599578857422,0.6450999975204468,76.53140258789062,1.399999976158142,1.399999976158142,mid,mid,0,synthetic_measurement,10,recovery
