sample_id,component,acoustic_weight,optical_weight,thermal_weight
W00017,H2,0.9662312409385723,7.86264097935654e-33,0.03376875906142776
W00017,CH4,0.9388668448828895,1.0501841366046432e-32,0.061133155117110496
W00017,CO2,0.0023756982864063534,1.3475300850198404e-34,0.9976243017135937
W00017,N2,0.5373064783445254,1.314995581508055e-31,0.46269352165547467
W00018,H2,0.003883853610522628,1.877698946071539e-31,0.9961161463894774
W00018,CH4,0.00580742143252114,1.5171854717621684e-31,0.9941925785674789
W00018,CO2,0.0006904487993899258,4.39570902763204e-35,0.9993095512006102
W00018,N2,0.0020896264683994085,1.983045890498191e-31,0.9979103735316006
W00019,H2,0.03459604743908,1.1863055840764746e-30,0.9654039525609199
W00019,CH4,0.05414700651428491,5.414601039215948e-31,0.945852993485715
W00019,CO2,0.004838046470865093,9.192081906529447e-35,0.995161953529135
W00019,N2,0.017544417451515644,3.0159359173676602e-30,0.9824555825484844
W00020,H2,0.04098526367266323,1.7602011192799696e-31,0.9590147363273368
W00020,CH4,0.02745743794960508,1.6044281553989136e-31,0.9725425620503949
W00020,CO2,0.00012477327282268085,9.642418175899235e-36,0.9998752267271774
W00020,N2,0.027792689203216224,1.3662562713476758e-31,0.9722073107967838
W00021,H2,0.035721334151276915,1.5843289136866436e-31,0.9642786658487231
W00021,CH4,0.05935408662648193,1.0294322198733714e-31,0.940645913373518
W00021,CO2,0.0017814515203733526,3.794956152026906e-35,0.9982185484796267
W00021,N2,0.02144845990898806,2.1433796971918964e-31,0.978551540091012
W00022,H2,0.042216847529454114,1.973242668247917e-31,0.9577831524705459
W00022,CH4,0.042548198941835105,1.4718548970256651e-31,0.9574518010581649
W00022,CO2,0.0003173755287468577,7.319088160171438e-35,0.9996826244712532
W00022,N2,0.020662913797675837,2.386889394106029e-31,0.9793370862023241
W00023,H2,0.32077282975605664,2.818969460548766e-30,0.6792271702439433
W00023,CH4,0.185939024259475,3.589348563103867e-29,0.814060975740525
W00023,CO2,0.0004693968602301199,2.798112640418847e-35,0.9995306031397698
W00023,N2,0.11033756987577106,1.021564333883377e-30,0.8896624301242289
W00024,H2,0.1001872632366318,1.3063334906467625e-31,0.8998127367633683
W00024,CH4,0.1175188161712225,6.661349698276758e-32,0.8824811838287775
W00024,CO2,0.0003701248591622047,6.017134203916017e-35,0.9996298751408378
W00024,N2,0.05300898521970465,3.246332754234419e-31,0.9469910147802953
W00025,H2,0.009666736274801493,2.010081300739642e-31,0.9903332637251986
W00025,CH4,0.008729953058761567,6.967683301116453e-32,0.9912700469412384
W00025,CO2,2.467362679130618e-05,9.403083836957807e-36,0.9999753263732086
W00025,N2,0.003525176551375409,2.100684674122541e-30,0.9964748234486246
W00026,H2,0.020955974337391263,3.1686171018132585e-31,0.9790440256626088
W00026,CH4,0.015446315016226923,1.701689758531538e-31,0.984553684983773
W00026,CO2,0.00012175194697117204,9.046099343908106e-35,0.9998782480530288
W00026,N2,0.011757983923247265,6.645258976437839e-31,0.9882420160767527
W00027,H2,0.00029959123119435905,6.783368156350154e-33,0.9997004087688057
W00027,CH4,0.00023128563582607405,5.7866550801600826e-33,0.9997687143641739
W00027,CO2,2.399969323499985e-06,2.423648974876027e-36,0.9999976000306765
W00027,N2,0.00015042822121803936,6.754703856019104e-33,0.9998495717787819
W00028,H2,0.01270704389933142,1.973326062714093e-31,0.9872929561006686
W00028,CH4,0.009043373138040958,1.301431545636846e-31,0.990956626861959
W00028,CO2,4.261697190744054e-05,1.7307579541702046e-35,0.9999573830280926
W00028,N2,0.006143061454183801,2.3395871657645175e-31,0.9938569385458162
W00029,H2,0.18166731871426192,1.8131094974681828e-31,0.818332681285738
W00029,CH4,0.5639925675150865,7.472709493982283e-32,0.4360074324849134
W00029,CO2,0.00014568842850107983,8.334396921621789e-35,0.999854311571499
W00029,N2,0.0959275019024225,2.287639358265089e-31,0.9040724980975774
W00030,H2,0.7535444046860829,1.626106525460045e-30,0.24645559531391717
W00030,CH4,0.3911411296007802,6.044357702489309e-30,0.6088588703992198
W00030,CO2,0.0007137690430798609,1.3560165511414166e-34,0.9992862309569202
W00030,N2,0.6822410231527315,1.1150726458246462e-30,0.31775897684726845
W00031,H2,0.044096195787602106,7.955444802537688e-32,0.9559038042123978
W00031,CH4,0.018621357254916766,6.384282360270706e-32,0.9813786427450832
W00031,CO2,3.717309981375687e-05,2.3068354374139278e-35,0.9999628269001862
W00031,N2,0.01699655399102093,9.069294239083891e-32,0.9830034460089792
W00032,H2,0.019045825801131833,3.2682902194528186e-31,0.9809541741988682
W00032,CH4,0.011288369212091436,2.67846818499253e-31,0.9887116307879085
W00032,CO2,3.376371950769578e-05,8.071837081681571e-35,0.9999662362804923
W00032,N2,0.008849702469882911,3.51767599662939e-31,0.991150297530117
W00209,H2,0.3727278538923349,5.321200044566598e-31,0.6272721461076651
W00209,CH4,0.16112227470077956,4.408192020816576e-31,0.8388777252992204
W00209,CO2,0.00029038407004973167,8.799994319927511e-35,0.9997096159299502
W00209,N2,0.18161594305888387,9.518201668802528e-31,0.8183840569411162
W00210,H2,0.018708039314562813,1.61617356432775e-31,0.9812919606854372
W00210,CH4,0.013851284335544271,8.849623019931165e-32,0.9861487156644558
W00210,CO2,6.968341639714824e-05,8.339787078387907e-35,0.9999303165836029
W00210,N2,0.009192444733366004,3.388222317324124e-31,0.990807555266634
W00211,H2,0.005071587636198144,6.608526511436742e-32,0.9949284123638018
W00211,CH4,0.004646486625744532,5.335960219766842e-32,0.9953535133742555
W00211,CO2,2.5294991934056058e-05,1.0628616547269537e-35,0.999974705008066
W00211,N2,0.002264783351660536,6.870735185767451e-32,0.9977352166483395
W00212,H2,0.02382172088059044,1.8812379975820513e-31,0.9761782791194096
W00212,CH4,0.08031050983097492,1.2834816319356982e-31,0.9196894901690251
W00212,CO2,4.337732288166897e-05,1.561859482248304e-35,0.9999566226771184
W00212,N2,0.011023702669953254,2.0198854596885455e-31,0.9889762973300467
