sample_id,component,acoustic_weight,optical_weight,thermal_weight
W00017,H2,0.1227610610607825,6.744257350766456e-30,0.8772389389392176
W00017,CH4,0.00041925242976899204,5.147435065447783e-32,0.9995807475702311
W00017,CO2,1.0907847007943495e-05,3.110353705478762e-32,0.999989092152992
W00017,N2,0.0019450080472688438,4.114087386128638e-31,0.9980549919527312
W00018,H2,0.032422082698426176,6.43200036847836e-30,0.9675779173015737
W00018,CH4,0.0004457876018422601,4.515939685423842e-32,0.9995542123981578
W00018,CO2,9.883516925666141e-06,1.579018675142059e-32,0.9999901164830743
W00018,N2,0.0016020568686556946,3.578677161920208e-31,0.9983979431313443
W00019,H2,0.008776772234731691,4.7217737743498745e-31,0.9912232277652683
W00019,CH4,0.0005420441130270543,3.1510907031536085e-33,0.999457955886973
W00019,CO2,7.128890359748675e-06,2.079503403522988e-33,0.9999928711096402
W00019,N2,0.0013577640427902492,2.54774304464986e-32,0.9986422359572098
W00020,H2,0.05566122345727517,2.9245744633445913e-31,0.9443387765427249
W00020,CH4,0.0015363498979668283,1.983356729506995e-33,0.9984636501020331
W00020,CO2,7.362441438430946e-05,1.4946389598147753e-33,0.9999263755856156
W00020,N2,0.007635631549610135,1.6396419841695869e-32,0.9923643684503899
W00021,H2,0.1675774839774767,8.673549134792957e-31,0.8324225160225233
W00021,CH4,0.002592743003567183,6.221261553895914e-33,0.9974072569964327
W00021,CO2,5.9140638121356286e-05,6.86981014727163e-33,0.9999408593618786
W00021,N2,0.008189346726774996,5.467181179436282e-32,0.991810653273225
W00022,H2,0.04407757682426139,1.3506832337174074e-29,0.9559224231757385
W00022,CH4,0.0016997218200473277,6.982321008423103e-32,0.9983002781799526
W00022,CO2,2.9654430299299814e-05,3.411079290065461e-31,0.9999703455697007
W00022,N2,0.004348667211654357,7.264793476419282e-31,0.9956513327883456
W00023,H2,0.027527149950757456,3.8367246663654143e-32,0.9724728500492427
W00023,CH4,0.00016087700318382047,2.396588722244029e-34,0.9998391229968161
W00023,CO2,4.3062042997652595e-06,2.518797841925321e-34,0.9999956937957002
W00023,N2,0.0005960775491115989,2.0899875053525185e-33,0.9994039224508885
W00024,H2,0.03399855322864334,7.35767028480661e-32,0.9660014467713567
W00024,CH4,0.000155522986543721,4.575619052954928e-34,0.9998444770134564
W00024,CO2,4.125926629692326e-06,5.129050842297283e-34,0.9999958740733704
W00024,N2,0.0006164508622575217,4.029240772207973e-33,0.9993835491377424
W00025,H2,0.06397600287853457,1.2227916997169797e-30,0.9360239971214654
W00025,CH4,0.002628960781636476,8.837881717096954e-33,0.9973710392183636
W00025,CO2,4.917349676381798e-05,5.0402842072176695e-33,0.9999508265032363
W00025,N2,0.007124342705377959,6.964806553812716e-32,0.9928756572946219
W00026,H2,0.11067814804513942,3.434718084129971e-31,0.8893218519548606
W00026,CH4,0.00306288701162684,2.3951934888973532e-33,0.9969371129883732
W00026,CO2,7.950691770189258e-05,2.1330067289034404e-33,0.9999204930822981
W00026,N2,0.010207321350430447,2.0318030302717832e-32,0.9897926786495695
