sample_id,component,acoustic_weight,optical_weight,thermal_weight
W00049,H2,0.040825103610420486,0.18774894700180972,0.7714259493877698
W00049,CH4,0.05082796923272909,0.16678902675589527,0.7823830040113757
W00049,CO2,0.018571613554763555,0.9806148876592798,0.0008134987859565452
W00049,N2,0.004382775233522289,0.9651825493888184,0.030434675377659294
W00050,H2,0.016199847287157954,0.012976687536599028,0.970823465176243
W00050,CH4,0.009654963033158276,0.004857059046916731,0.985487977919925
W00050,CO2,0.025437922899349624,0.9705429974329028,0.00401907966774755
W00050,N2,0.029644689461628605,0.1123643365193592,0.8579909740190123
W00051,H2,0.016096319843633824,0.014174991020875842,0.9697286891354903
W00051,CH4,0.026435235751069347,0.011339750836962492,0.9622250134119682
W00051,CO2,0.020205044879231134,0.9779943903708604,0.0018005647499084213
W00051,N2,0.04522095457331707,0.3113573338422902,0.6434217115843928
W00052,H2,0.021539962043318876,0.014185342078003892,0.9642746958786773
W00052,CH4,0.021448020837236455,0.008302770683594122,0.9702492084791693
W00052,CO2,0.024300831488623914,0.9736942912927492,0.0020048772186268262
W00052,N2,0.05540729690398887,0.1427144630656809,0.8018782400303303
W00053,H2,0.07273740587500585,0.09374471499927947,0.8335178791257147
W00053,CH4,0.6675758515474918,0.17147004432742777,0.1609541041250805
W00053,CO2,0.07783582658043295,0.9215428445464385,0.000621328873128328
W00053,N2,0.011756956435351752,0.9541196466515314,0.034123396913117054
W00054,H2,0.2702976646204056,0.007344852241113271,0.722357483138481
W00054,CH4,0.07748720439090241,0.0025632818112978836,0.9199495137977997
W00054,CO2,0.05497716036193946,0.9432740377202103,0.001748801917850169
W00054,N2,0.21550456990431077,0.07709273514160435,0.7074026949540849
W00055,H2,0.1608594455917397,0.018961241838394784,0.8201793125698655
W00055,CH4,0.0761589778744303,0.0037160700237252463,0.9201249521018445
W00055,CO2,0.06885732445490042,0.9296408564629985,0.001501819082100978
W00055,N2,0.1459326695842556,0.14163807098406633,0.7124292594316781
W00056,H2,0.3505566338179309,0.01255871837271526,0.6368846478093537
W00056,CH4,0.07495801432888535,0.0019119852853875586,0.9231300003857271
W00056,CO2,0.0888772143884291,0.9097316772453473,0.0013911083662235002
W00056,N2,0.27840629551231005,0.11602328513224314,0.6055704193554468
