sample_id,TOF,Amp,f_peak,A_fft_max,tau_s,tau_ms,t_round_s,t_round_ms,reflection_count,fiber_direct_amp,fiber_tail_energy,fiber_alpha_est,L_m,T_C,P_MPa,H_RH
W00001,0.000665,0.9506976008415222,39800.0,9.76058578491211,0.06470758561119404,64.70758561119403,0.0,0.0,0.0,0.9482882022857666,18.979684829711914,77.27069211850217,0.20000000298023224,21.721599578857422,0.6450999975204468,76.53140258789062
W00002,0.00047,0.8294697403907776,40000.0,8.523353576660156,0.003927163403910516,3.9271634039105163,0.0,0.0,0.0,0.8870465159416199,13.587023735046387,1273.183570746099,0.20000000298023224,21.721599578857422,0.6450999975204468,76.53140258789062
W00003,0.00047,0.8303607702255249,39800.0,8.57304573059082,0.0036023452442072008,3.602345244207201,0.0,0.0,0.0,0.8872888088226318,13.591573715209961,1387.9846562553969,0.20000000298023224,21.721599578857422,0.6450999975204468,76.53140258789062
W00004,0.00052,0.849245548248291,40200.0,8.720277786254883,0.004498442996389075,4.498442996389074,0.0,0.0,0.0,0.8970621228218079,14.341660499572754,1111.495672949001,0.20000000298023224,21.721599578857422,0.6450999975204468,76.53140258789062
W00005,0.001805,0.948659360408783,40000.0,9.750432968139648,0.16932357531130424,169.32357531130424,0.00342,3.42,2.0,0.9487674832344055,16.040098190307617,9.843086512761685,0.6000000238418579,21.721599578857422,0.6450999975204468,76.53140258789062
W00006,0.00098,0.7546061277389526,40200.0,7.756592750549316,0.016258202769775177,16.258202769775178,0.001775,1.7750000000000001,1.0,0.8479417562484741,11.388405799865723,102.51235170579271,0.6000000238418579,21.721599578857422,0.6450999975204468,76.53140258789062
W00007,0.00098,0.7565668225288391,40000.0,7.767819881439209,999999999.9999999,999999999999.9999,0.001775,1.7750000000000001,1.0,0.8460764288902283,11.411354064941406,1.6666666004392866e-09,0.6000000238418579,21.721599578857422,0.6450999975204468,76.53140258789062
W00008,0.00115,0.7759692072868347,40000.0,7.980958938598633,0.009364298702079879,9.364298702079878,0.00211,2.11,2.0,0.857991099357605,11.89941120147705,177.9809309232209,0.6000000238418579,21.721599578857422,0.6450999975204468,76.53140258789062
W00009,0.002945,0.946917712688446,40200.0,9.765809059143066,0.0038507113169795313,3.8507113169795315,0.005695,5.695,1.0,0.9488207101821899,12.998151779174805,259.6922796031338,1.0,21.721599578857422,0.6450999975204468,76.53140258789062
W00010,0.001905,0.5940132141113281,40200.0,6.125823497772217,999999999.9999999,999999999999.9999,0.00363,3.63,1.0,0.7525253295898438,8.116718292236328,1e-09,1.0,21.721599578857422,0.6450999975204468,76.53140258789062
W00011,0.001905,0.5947308540344238,39800.0,6.114229679107666,999999999.9999999,999999999999.9999,0.00362,3.62,1.0,0.7513094544410706,8.110689163208008,1e-09,1.0,21.721599578857422,0.6450999975204468,76.53140258789062
W00012,0.002155,0.6363970041275024,40200.0,6.561794757843018,0.00650211988589205,6.50211988589205,0.004125,4.125,1.0,0.7758628726005554,8.767532348632812,153.7959953906335,1.0,21.721599578857422,0.6450999975204468,76.53140258789062
W00013,0.004085,0.9482020735740662,39800.0,9.762309074401855,0.003766094517171892,3.766094517171892,0.0,0.0,0.0,0.9477378129959106,6.997154712677002,189.6621880287574,1.399999976158142,21.721599578857422,0.6450999975204468,76.53140258789062
W00014,0.002205,0.47665083408355713,40400.0,4.920077800750732,0.004681405397996371,4.681405397996371,0.00422,4.22,1.0,0.673643171787262,6.581028938293457,152.57933584552197,1.399999976158142,21.721599578857422,0.6450999975204468,76.53140258789062
W00015,0.002205,0.47874438762664795,40000.0,4.934377670288086,0.011724997586766008,11.724997586766008,0.00422,4.22,1.0,0.6747877597808838,6.618386268615723,60.91990392016295,1.399999976158142,21.721599578857422,0.6450999975204468,76.53140258789062
W00016,0.0026,0.5277950167655945,39800.0,5.4205002784729,0.0070709809013683395,7.07098090136834,0.005015,5.015000000000001,1.0,0.7091552019119263,6.959144592285156,101.01649776931272,1.399999976158142,21.721599578857422,0.6450999975204468,76.53140258789062
