sample_id,component,acoustic_weight,optical_weight,thermal_weight
W00049,H2,0.0031326381672723636,2.1428514608231087e-31,0.9968673618327276
W00049,CH4,0.0018951862006189083,1.0227939244659066e-31,0.9981048137993811
W00049,CO2,0.0020172514784400648,1.1094088656988602e-31,0.9979827485215599
W00049,N2,0.006287760495036344,3.576650717424714e-31,0.9937122395049636
W00050,H2,0.0007229819732838934,1.167669470725382e-31,0.9992770180267161
W00050,CH4,0.0005217997962340496,5.592049336673926e-32,0.999478200203766
W00050,CO2,0.0004959929459290774,5.416769553924219e-32,0.9995040070540709
W00050,N2,0.002615399337036781,1.9931490304375593e-31,0.9973846006629632
W00051,H2,0.002257984916777882,1.8372336124144527e-31,0.9977420150832221
W00051,CH4,0.001972254979735699,8.737066631415815e-32,0.9980277450202643
W00051,CO2,0.0014864618908710988,1.0381531568951818e-31,0.9985135381091289
W00051,N2,0.004677888777560961,3.0319052648681076e-31,0.995322111222439
W00052,H2,0.0015797127048224398,3.581949240107539e-31,0.9984202872951775
W00052,CH4,0.0010006592038138888,1.6814951983788985e-31,0.9989993407961862
W00052,CO2,0.0013751008731909605,2.068348372716734e-31,0.9986248991268091
W00052,N2,0.004600037807452463,5.41406593014752e-31,0.9953999621925476
W00053,H2,0.003473307527951904,1.7349609397099002e-31,0.9965266924720481
W00053,CH4,0.0031008126495179326,8.242365837352768e-32,0.9968991873504821
W00053,CO2,0.0019238623266883623,9.567548449245198e-32,0.9980761376733116
W00053,N2,0.005476841013170605,2.83716847610953e-31,0.9945231589868294
W00054,H2,0.00203338284353552,1.0430672297171357e-31,0.9979666171564644
W00054,CH4,0.002108474274685219,4.975476080370163e-32,0.9978915257253148
W00054,CO2,0.0013413331328163728,5.512526674679569e-32,0.9986586668671836
W00054,N2,0.004950161566520076,1.752679111960056e-31,0.9950498384334799
W00055,H2,0.0026752177580553044,3.2169184488436676e-31,0.9973247822419447
W00055,CH4,0.0014069085136363473,1.4937960587341708e-31,0.9985930914863637
W00055,CO2,0.0011707119037014917,2.4696536582914784e-31,0.9988292880962985
W00055,N2,0.0037937008684108087,4.602013919035617e-31,0.9962062991315892
W00056,H2,0.002501907665299845,1.7384246054722542e-31,0.9974980923347002
W00056,CH4,0.0012033539422891767,8.308574949129683e-32,0.9987966460577108
W00056,CO2,0.0006910507642225224,8.955967154473996e-32,0.9993089492357775
W00056,N2,0.0018984019200752973,2.9369587924074555e-31,0.9981015980799247
